id,max_,min_,mean_,median_,std_,wealth
1285.0,5.0,0.0,0.15,0.0,0.8529361054615989,0.91858
1286.0,0.0,0.0,0.0,0.0,0.0,0.6399100000000001
1287.0,5.0,0.0,0.15,0.0,0.8529361054615988,0.7840699999999999
1288.0,9.0,0.0,2.11,0.0,3.1492697566261296,0.66159
1289.0,9.0,0.0,2.11,0.0,3.1492697566261296,0.48203999999999997
1290.0,8.0,0.0,1.73,0.0,2.8700348429940705,0.36293000000000003
1291.0,8.0,0.0,1.73,0.0,2.8700348429940705,-0.4022
1292.0,8.0,0.0,1.73,0.0,2.8700348429940705,0.23649
1293.0,56.0,7.0,20.82,16.0,13.047129952598768,-0.66265
1294.0,63.0,15.0,47.29,54.0,15.80524912805869,0.057165
1295.0,62.0,9.0,32.02,31.5,16.521489037008738,-1.3408600000000002
1296.0,62.0,10.0,32.39,32.0,15.770158528055449,-0.3564
1297.0,9.0,0.0,5.47,6.0,2.2823452850083834,-0.728175
1298.0,7.0,0.0,2.9,0.0,2.9949958263743874,-0.685385
1299.0,59.0,8.0,27.72,23.0,15.584017453788993,-0.808245
1300.0,59.0,7.0,20.6,13.0,15.075808436034201,-1.1163399999999999
1301.0,0.0,0.0,0.0,0.0,0.0,-0.4829
1302.0,0.0,0.0,0.0,0.0,0.0,-1.13636
1303.0,0.0,0.0,0.0,0.0,0.0,-1.41134
1304.0,0.0,0.0,0.0,0.0,0.0,-0.684955
1305.0,5.0,0.0,0.05,0.0,0.4974937185533102,-0.55982
1306.0,0.0,0.0,0.0,0.0,0.0,-1.39143
1307.0,9.0,0.0,0.44,0.0,1.779438113562818,-1.3499150000000002
1308.0,0.0,0.0,0.0,0.0,0.0,-1.82445
1309.0,0.0,0.0,0.0,0.0,0.0,-1.5738500000000002
1310.0,0.0,0.0,0.0,0.0,0.0,-1.41953
1311.0,33.0,6.0,11.25,9.0,6.678884637422629,-0.564485
1312.0,0.0,0.0,0.0,0.0,0.0,-0.988835
1313.0,0.0,0.0,0.0,0.0,0.0,-1.8629200000000001
1314.0,0.0,0.0,0.0,0.0,0.0,-1.35609
1315.0,0.0,0.0,0.0,0.0,0.0,-0.870025
1316.0,0.0,0.0,0.0,0.0,0.0,-0.8263299999999999
1317.0,16.0,0.0,0.45,0.0,2.2951034835057,-1.42014
1318.0,8.0,0.0,0.15,0.0,1.0523782589924593,-0.42230500000000004
1319.0,21.0,0.0,1.86,0.0,4.882663207717692,-1.0305
1320.0,18.0,0.0,1.16,0.0,3.6543672502910813,-2.7756
1321.0,11.0,0.0,5.92,6.0,3.170741238259597,-0.9276200000000001
1322.0,10.0,0.0,3.49,5.0,3.4423683707587136,-0.56908
1323.0,8.0,0.0,2.77,0.0,3.0523925042497404,-0.85936
1324.0,9.0,0.0,3.43,5.0,3.1914103465395987,-0.37617
1325.0,11.0,0.0,5.3,6.0,3.170173496829472,-0.70431
1326.0,7.0,0.0,0.99,0.0,2.2067849917923583,-0.8010149999999999
1327.0,7.0,0.0,1.12,0.0,2.3335809392433764,-0.82135
1328.0,5.0,0.0,0.2,0.0,0.9797958971132713,-1.0513700000000001
1329.0,0.0,0.0,0.0,0.0,0.0,-1.17077
1330.0,5.0,0.0,0.15,0.0,0.8529361054615988,-1.4017950000000001
1331.0,7.0,0.0,1.0,0.0,2.2181073012818833,-1.00319
1332.0,6.0,0.0,0.45,0.0,1.532155344604456,-1.10287
1333.0,0.0,0.0,0.0,0.0,0.0,-1.91593
1334.0,9.0,0.0,0.77,0.0,2.221958595473822,-1.8704599999999998
1335.0,6.0,0.0,0.06,0.0,0.5969924622639718,-1.39249
1336.0,0.0,0.0,0.0,0.0,0.0,-1.3391899999999999
1337.0,8.0,0.0,1.73,0.0,2.8700348429940705,-1.0053
1338.0,0.0,0.0,0.0,0.0,0.0,-1.09636
1339.0,8.0,0.0,1.55,0.0,2.7834331319433563,-1.03941
1340.0,8.0,0.0,1.25,0.0,2.5975950415721076,-0.9792549999999999
1341.0,63.0,11.0,38.89,38.0,16.85223724020048,0.776215
1342.0,63.0,7.0,26.83,18.0,20.044976926901164,0.8860100000000001
1343.0,63.0,10.0,38.95,38.0,16.813313177360374,0.924005
